id,text,lang,category
1755999870073065730,RT  E Jean Carroll claimed to have been sexually assaulted by her babysitters boyfriend, her dentist, her camp counsel,en,US
1755999827647754349,RT  E Jean Carroll claimed to have been sexually assaulted by her babysitters boyfriend, her dentist, her camp counsel,en,US
1756362186824585633,RT  The border deal failed because it wasnt a border deal at all It was an immigration bill that would have codified Bide,en,US
1756362186824585633,RT  The border deal failed because it wasnt a border deal at all It was an immigration bill that would have codified Bide,en,US
1756362186824585633,RT  The border deal failed because it wasnt a border deal at all It was an immigration bill that would have codified Bide,en,US
1756362361588342836,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362338905526285,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362313907470476,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362304369590743,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362275911328026,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362210300006662,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362203601502231,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362197377139017,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362148681277529,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362095757554050,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362361588342836,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362338905526285,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362313907470476,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362304369590743,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362275911328026,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362210300006662,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362203601502231,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362197377139017,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362148681277529,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362095757554050,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362074224050378,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362026761232408,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362000874050047,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362361588342836,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362338905526285,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362313907470476,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362304369590743,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362275911328026,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362210300006662,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362203601502231,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362197377139017,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362148681277529,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362095757554050,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362074224050378,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362026761232408,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1756362000874050047,RT  Chris Wallace is an idiot and probably didnt even watch the interview

He has zero credibility after his abysmal moderating of,en,US
1755999857267843361,RT    He shouldve waited his turn and he wouldve been president in 2028

This alone tells me y,en,US
1755999936993235041,RT    Hes such a coward he wont debate Nikki I dont care what they do to him  Hes still not shown his,en,US
1756361994674819077,RT  Moment 2 slurred speech Instead of saying the word subsidies, he said subsies Slurred speech is a classic marker,en,US
1756361994674819077,RT  Moment 2 slurred speech Instead of saying the word subsidies, he said subsies Slurred speech is a classic marker,en,US
1755999833624838404,RT   •••
TY AG for breaking this story Id bet it spurred this Newsweek story which came out about 4 hrs a,en,US
1756362303505674582,RT  BidenDementia is now publicly urging his key aides and cabinet officials like Garland to OBSTRUCT Justice
®®®®® 

Joe,en,US
1756362303505674582,RT  BidenDementia is now publicly urging his key aides and cabinet officials like Garland to OBSTRUCT Justice
®®®®® 

Joe,en,US
1756362303505674582,RT  BidenDementia is now publicly urging his key aides and cabinet officials like Garland to OBSTRUCT Justice
®®®®® 

Joe,en,US
1756362303505674582,RT  BidenDementia is now publicly urging his key aides and cabinet officials like Garland to OBSTRUCT Justice
®®®®® 

Joe,en,US
1756359058578190656,RT  BidenDementia is now publicly urging his key aides and cabinet officials like Garland to OBSTRUCT Justice
®®®®® 

Joe,en,US
1756356978723500257,RT  BidenDementia is now publicly urging his key aides and cabinet officials like Garland to OBSTRUCT Justice
®®®®® 

Joe,en,US
1756355788514160944,RT  BidenDementia is now publicly urging his key aides and cabinet officials like Garland to OBSTRUCT Justice
®®®®® 

Joe,en,US
1756355215564128549,RT  BidenDementia is now publicly urging his key aides and cabinet officials like Garland to OBSTRUCT Justice
®®®®® 

Joe,en,US
1756354416004014229,RT  BidenDementia is now publicly urging his key aides and cabinet officials like Garland to OBSTRUCT Justice
®®®®® 

Joe,en,US
1756351267314487471,RT  BidenDementia is now publicly urging his key aides and cabinet officials like Garland to OBSTRUCT Justice
®®®®® 

Joe,en,US
1756357780955353096,Dont do their job for them That is what they want you to do Then the Republicans are at fault if things go bad Let them fix their mess 


1756362369792430532, Gaslighting the base just makes us angrier and more protective And talking about Beaus death like that and Biden not remembering the date is a nono and infuriating to both him and us,en,US
1756362369792430532, Gaslighting the base just makes us angrier and more protective And talking about Beaus death like that and Biden not remembering the date is a nono and infuriating to both him and us,en,US
1756362369792430532, Gaslighting the base just makes us angrier and more protective And talking about Beaus death like that and Biden not remembering the date is a nono and infuriating to both him and us,en,US
1755999864985411795,    Oh you mean THESE tapes Yes, those have helped even more people get arrested for participating in an Insurrection Very helpful 
1755999909814153666,RT  WHO IS WITH ME

Im ready for mean tweets, lower gas priceshell, lower prices on everythingworld peacea secure Ame,en,US
1755999889329414272,RT   Im ready for some mean tweets, lower gas priceshell, lower prices on everythingworld peacea secure Amer,en,US
1756362030435438757,to fail because Dean ran for president in disregard of his own constituents and of all sound advice His feckless campaign and his disgusting tweets continually show Dean is not ready to be president 2

1756362030435438757,to fail because Dean ran for president in disregard of his own constituents and of all sound advice His feckless campaign and his disgusting tweets continually show Dean is not ready to be president 2

1756362153399914880,RT  Hunter Bidens lawyer Kevin Morris admitted he is handling everything for Hunter  why With  
1756362153399914880,RT  Hunter Bidens lawyer Kevin Morris admitted he is handling everything for Hunter  why With  
1756362153399914880,RT  Hunter Bidens lawyer Kevin Morris admitted he is handling everything for Hunter  why With  
1756362026421465113,RT  Amazing the cowardly corrupt left are scared to death of an honest guy selling pillows Mikes life story exemplifies th,en,US
1756362026421465113,RT  Amazing the cowardly corrupt left are scared to death of an honest guy selling pillows Mikes life story exemplifies th,en,US
1756361999762489604,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756361999762489604,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756361994746429711,RT  This is something thats been rattling around in my brain for some time, and  finally articulated it here,en,US
1756361975242657989,RT  This is something thats been rattling around in my brain for some time, and  finally articulated it here,en,US
1756361994746429711,RT  This is something thats been rattling around in my brain for some time, and  finally articulated it here,en,US
1756361975242657989,RT  This is something thats been rattling around in my brain for some time, and  finally articulated it here,en,US
1756361986563256371,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756361986563256371,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362384455963041,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362368525975577,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362287492083824,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362245724918072,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362243837759792,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362215509106694,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362213961486439,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362199361028162,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362175168266252,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362118859751874,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362087855710345,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362081119400216,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362384455963041,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362368525975577,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362287492083824,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362245724918072,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362243837759792,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362215509106694,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362213961486439,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362199361028162,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362175168266252,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362118859751874,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362087855710345,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362081119400216,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362074014224512,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362063289721329,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362020176175177,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362008017158533,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756361996721610820,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756361995266281918,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756361976908058919,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362384455963041,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362368525975577,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362287492083824,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362245724918072,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362243837759792,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362215509106694,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362213961486439,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362199361028162,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362175168266252,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362118859751874,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362087855710345,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362081119400216,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362074014224512,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362063289721329,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362020176175177,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756362008017158533,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756361996721610820,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756361995266281918,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756361976908058919,RT  I am a wellmeaning, elderly man who sometime has a poor memory And I also would be a better choice for president than th,en,US
1756355235436470740,   Wow, theres REALLY someone out here still flogging the dead horse of Merrick Garlands 11thdimensional chess

Garland is a feckless coward who crumpled under bad faith GOP working the refs Thats it, thats the story,en,US
1756357511811326206,    Theres a difference between being impartial, and allowing your underlings to be partisan and break DOJ policy 

Merrick Garland needs to get his house in order, or go,en,US
1756362029332578503,RT  Have you ever seen a bunch of Biden supporters play soccer  Well now you have £££ 
1756362029332578503,RT  Have you ever seen a bunch of Biden supporters play soccer  Well now you have £££ 
1756352439278608721, Merrick Garland still decided to release the report He agrees with the assessment,en,US
1755999833708441786,RT  Ronnie OSullivan I fucking love you man
Judd Trump I cant believe it ì
snooker ilovesnooker  ,en,US
1756353432787575203,Is this true Is this just protrump lying propaganda, because  is spreading this info too
We need Merrick Garland to address this          ,en,US
1756362191136063727, Trump confused his Republican rival Nikki Haley with former House Speaker Nancy Pelosi Mistook a photo of E Jean Carroll as his former wife, Marla Maples Thinks Obama is still Pres 
1756362191136063727, Trump confused his Republican rival Nikki Haley with former House Speaker Nancy Pelosi Mistook a photo of E Jean Carroll as his former wife, Marla Maples Thinks Obama is still Pres 
1756362191136063727, Trump confused his Republican rival Nikki Haley with former House Speaker Nancy Pelosi Mistook a photo of E Jean Carroll as his former wife, Marla Maples Thinks Obama is still Pres 
1756362003008901263,     Why  because its only an occasional flood with Trump, with Biden he talks like he has marbles in his mouth and doesnt make sense and often speaks of dead people that they had conversations with yesterday,en,US
1756362003008901263,     Why  because its only an occasional flood with Trump, with Biden he talks like he has marbles in his mouth and doesnt make sense and often speaks of dead people that they had conversations with yesterday,en,US
1756362239890825532,RT             Did any o,en,US
1756362239890825532,RT             Did any o,en,US
1756362239890825532,RT             Did any o,en,US
1756357286254023071, Merrick Garland is proving hes NOT as good as progressives thought he was        ,en,US
1755999846765314232,Michael Rapaport admits being misled by media in 2017 about Trumps Very fine people on both sides, firmly rules out voting for Joe Biden, Kamala Harris or Gavin Newsom

I was wrongwhen you see the full quote that wasnt what he said

Im going to tell you right now, i  
1755999896476479581,RT  Donald Trump confused me for Nancy Pelosi Joe Biden confused the president of Mexico with the president of Egypt 

The fi,en,US
1755999837894459500,RT  Donald Trump confused me for Nancy Pelosi Joe Biden confused the president of Mexico with the president of Egypt 

The fi,en,US
1755999822568419480,RT    Biden is so old that 
Trump called Nancy Pelosi Nikki Haley TEN TIMES

Biden is so old that 
Mit,en,US
1756362341904760942,RT  Trump confused Obama with Biden at least 7 times

He confused Nikki Haley with Nancy Pelosi

He confused his 2nd wife Marla Ma,en,US
1756362127814619438,RT  Trump confused Obama with Biden at least 7 times

He confused Nikki Haley with Nancy Pelosi

He confused his 2nd wife Marla Ma,en,US
1756362341904760942,RT  Trump confused Obama with Biden at least 7 times

He confused Nikki Haley with Nancy Pelosi

He confused his 2nd wife Marla Ma,en,US
1756362127814619438,RT  Trump confused Obama with Biden at least 7 times

He confused Nikki Haley with Nancy Pelosi

He confused his 2nd wife Marla Ma,en,US
1756362341904760942,RT  Trump confused Obama with Biden at least 7 times

He confused Nikki Haley with Nancy Pelosi

He confused his 2nd wife Marla Ma,en,US
1756362127814619438,RT  Trump confused Obama with Biden at least 7 times

He confused Nikki Haley with Nancy Pelosi

He confused his 2nd wife Marla Ma,en,US
1756362368659939445,RT  Trump confused Nikki Haley with Nancy Pelosi Trump confused Barack Obama with Joe Biden TRUMP is also an autocrat who,en,US
1756362339245310041,RT  Trump confused Nikki Haley with Nancy Pelosi Trump confused Barack Obama with Joe Biden TRUMP is also an autocrat who,en,US
1756362368659939445,RT  Trump confused Nikki Haley with Nancy Pelosi Trump confused Barack Obama with Joe Biden TRUMP is also an autocrat who,en,US
1756362339245310041,RT  Trump confused Nikki Haley with Nancy Pelosi Trump confused Barack Obama with Joe Biden TRUMP is also an autocrat who,en,US
1756362014518038890,RT  Trump confused Nikki Haley with Nancy Pelosi Trump confused Barack Obama with Joe Biden TRUMP is also an autocrat who,en,US
1756357752094597434,  Agree But at his core,  is still sexist
 was told he needed a Black Woman on the ticket to win
So he got one But picked trump, congressional seditionists, and protector of Clarence Thomas and Ginni, doorstop Merrick Garland over the professional, ,en,US
1756351996934697399,  Its Garlands fault in allowing this to go out Noone was asking him to evaluate Bidens mental acuity  There was no such report for Pence All that was said was he was innocent, why the lying double standard Shame on the repugs and most of all Merrick Garland,en,US
1756360800397046156, Well said  èèè
And now that youve expressed your view tell  to remove both Robert Hur and Merrick Garland
 has been exonerated and its the right time to get right of both of them Just do it,en,US
1755999954659840411,RT  s cognitive decline can no longer be ignored 

Arizonans should be outraged that  amp  h,en,US
1756362133787292086,RT   Reagan was president with dementia amp everyone knew it They voted for Reagan anyway None of this is about Bidens,en,US
1756362133787292086,RT   Reagan was president with dementia amp everyone knew it They voted for Reagan anyway None of this is about Bidens,en,US
1756362133787292086,RT   Reagan was president with dementia amp everyone knew it They voted for Reagan anyway None of this is about Bidens,en,US
1756356274747261117,Merrick Garlands Prime Objective was to see that all those who Attempted a Coup Against America were never held Accountable, in that effort he was successful          ,en,US
1756360785679302809,RT   Because he liked it  Merrick garland 
     
Garland is,en,US
1756362058797297790,RT  In a world where Paul McCartney is 81, Mick Jagger is 80, Ringos 83, Clint Eastwoods 93, Chuck Grassleys 90, Nancy Pelos,en,US
1756362058797297790,RT  In a world where Paul McCartney is 81, Mick Jagger is 80, Ringos 83, Clint Eastwoods 93, Chuck Grassleys 90, Nancy Pelos,en,US
1756358523431121306,  Lets face it, he is having a hard time and so is Trump Fire Merrick Garland He is a stupid man He picks a hard core republican to check out  Bidens boxes President Biden get rid of him,en,US
1755999918878318688,RT  Nikki Haley reminds Hannity Trump confused her with Pelosi 
1755999961316053137, Trump thought Nikki Haley was the speaker of the house on Jan 6th He doesnt even know what day it is,en,US
1755999851362611566,RT  After Donald Trump turned against Republican National Commitee chair Ronna McDaniel this week, one RNC member said Tru,en,US
1755999830768591276,RT  Id rather have Joe slip up and say the President of Mexico than Trump mix up Nancy Pelosi and Nikki Haley 

I also prefer,en,US
1755999999152841163,RT    Trump has the Greatest memory lapses Bigly No one is better

1755999831158321435,RT  Trump recently confused Nancy Pelosi with Nikki Haley, since yall want to play this game

And, also

a rapist,en,US
1756000000994316351,RT  Not a single reporter challenged Trump when he mistook Nikki Haley for Nancy Pelosi FOUR TIMES  Shut up, hypocrites,en,US
1755999818475000094,RT  Not a single reporter challenged Trump when he mistook Nikki Haley for Nancy Pelosi FOUR TIMES  Shut up, hypocrites,en,US
1756362255623655576,RT  Anyone Going Against Donald Trump At This Point Is Pretty Much Supporting Joe Biden 

RT If You Agree Nikki Haley Shoul,en,US
1756362085800243276,RT  Anyone Going Against Donald Trump At This Point Is Pretty Much Supporting Joe Biden 

RT If You Agree Nikki Haley Shoul,en,US
1756362255623655576,RT  Anyone Going Against Donald Trump At This Point Is Pretty Much Supporting Joe Biden 

RT If You Agree Nikki Haley Shoul,en,US
1756362085800243276,RT  Anyone Going Against Donald Trump At This Point Is Pretty Much Supporting Joe Biden 

RT If You Agree Nikki Haley Shoul,en,US
1756362255623655576,RT  Anyone Going Against Donald Trump At This Point Is Pretty Much Supporting Joe Biden 

RT If You Agree Nikki Haley Shoul,en,US
1756362085800243276,RT  Anyone Going Against Donald Trump At This Point Is Pretty Much Supporting Joe Biden 

RT If You Agree Nikki Haley Shoul,en,US
1755999922573189382,RT  Id rather have Joe slip up and say the President of Mexico than Trump mix up Nancy Pelosi and Nikki Haley 

I also prefer,en,US
1755999984460165224,  Trump mistakenly said Hungary borders Russia It doesnt Last month, Trump also confused Republican presidential candidate Nikki Haley with former House Speaker Nancy Pelosi Trump claimed he fought Cassius Clay So yeah all good there,en,US
1756362268353155119,RT  Trump mistook his ex wife for E Jean Carroll amp Nikki Haley for Nancy Pelosi
Mitch McConnell twice went into a semicom,en,US
1756362197310308634,RT  Trump mistook his ex wife for E Jean Carroll amp Nikki Haley for Nancy Pelosi
Mitch McConnell twice went into a semicom,en,US
1756362268353155119,RT  Trump mistook his ex wife for E Jean Carroll amp Nikki Haley for Nancy Pelosi
Mitch McConnell twice went into a semicom,en,US
1756362197310308634,RT  Trump mistook his ex wife for E Jean Carroll amp Nikki Haley for Nancy Pelosi
Mitch McConnell twice went into a semicom,en,US
1756362021103149147,RT  Trump mistook his ex wife for E Jean Carroll amp Nikki Haley for Nancy Pelosi
Mitch McConnell twice went into a semicom,en,US
1756362268353155119,RT  Trump mistook his ex wife for E Jean Carroll amp Nikki Haley for Nancy Pelosi
Mitch McConnell twice went into a semicom,en,US
1756362197310308634,RT  Trump mistook his ex wife for E Jean Carroll amp Nikki Haley for Nancy Pelosi
Mitch McConnell twice went into a semicom,en,US
1756362021103149147,RT  Trump mistook his ex wife for E Jean Carroll amp Nikki Haley for Nancy Pelosi
Mitch McConnell twice went into a semicom,en,US
1755999877748990069,RT       amp  are both propeace amp anti Zionist,en,US
1756362107128312319, Jeffrey Epstein was killed in prison for what he knew about  important  peopleThe FBI arrests and imprisons people for an unofficial insurrection, an old, unarmed 300lb man was killed because he made threats to Biden,Trump is in the process of being forced off the ballot,en,US
1756362107128312319, Jeffrey Epstein was killed in prison for what he knew about  important  peopleThe FBI arrests and imprisons people for an unofficial insurrection, an old, unarmed 300lb man was killed because he made threats to Biden,Trump is in the process of being forced off the ballot,en,US
1756362107128312319, Jeffrey Epstein was killed in prison for what he knew about  important  peopleThe FBI arrests and imprisons people for an unofficial insurrection, an old, unarmed 300lb man was killed because he made threats to Biden,Trump is in the process of being forced off the ballot,en,US
1756362165013926336,RT  yeah I guess its bad Biden mixed up Sisi and Obrador but then Trump mixed up consent and rape so maybe shut the,en,US
1756362165013926336,RT  yeah I guess its bad Biden mixed up Sisi and Obrador but then Trump mixed up consent and rape so maybe shut the,en,US
1756362165013926336,RT  yeah I guess its bad Biden mixed up Sisi and Obrador but then Trump mixed up consent and rape so maybe shut the,en,US
1756362225982349417,RT  yeah I guess its bad Biden mixed up Sisi and Obrador but then Trump mixed up consent and rape so maybe shut the,en,US
1756362197570335224,RT  yeah I guess its bad Biden mixed up Sisi and Obrador but then Trump mixed up consent and rape so maybe shut the,en,US
1756362225982349417,RT  yeah I guess its bad Biden mixed up Sisi and Obrador but then Trump mixed up consent and rape so maybe shut the,en,US
1756362197570335224,RT  yeah I guess its bad Biden mixed up Sisi and Obrador but then Trump mixed up consent and rape so maybe shut the,en,US
1756362066598772902,RT  yeah I guess its bad Biden mixed up Sisi and Obrador but then Trump mixed up consent and rape so maybe shut the,en,US
1756362225982349417,RT  yeah I guess its bad Biden mixed up Sisi and Obrador but then Trump mixed up consent and rape so maybe shut the,en,US
1756362197570335224,RT  yeah I guess its bad Biden mixed up Sisi and Obrador but then Trump mixed up consent and rape so maybe shut the,en,US
1756362066598772902,RT  yeah I guess its bad Biden mixed up Sisi and Obrador but then Trump mixed up consent and rape so maybe shut the,en,US
1756356334516142474,RT  Woah, it just came out that Biden has been recently blaming Merrick Garland for taking too long investigating Trump,en,US
1756353383269843324,RT  Woah, it just came out that Biden has been recently blaming Merrick Garland for taking too long investigating Trump,en,US
1756362245032771933,RT  A massive crowd in Conway, South Carolina to see dementia Joe and Jill Biden Kamala Harris or Hillary Clinton 
No, never i,en,US
1756362245032771933,RT  A massive crowd in Conway, South Carolina to see dementia Joe and Jill Biden Kamala Harris or Hillary Clinton 
No, never i,en,US
1756362245032771933,RT  A massive crowd in Conway, South Carolina to see dementia Joe and Jill Biden Kamala Harris or Hillary Clinton 
No, never i,en,US
1756362017928024274,The next Biden bumper sticker, courtesy of JD Vance 
1756362017928024274,The next Biden bumper sticker, courtesy of JD Vance 
1756360193930355135,Perhaps  could protect Americans from GOPCorruptionAndHypocrisy  

Insurrection sympathizers like Chris Wray, Louis DeJoy amp Merrick Garland still have jobs 

So Im not hopeful in the least 
1756362274997158216,RT   arrest fake doctor Jill Biden for the daily ongoing ELDER ABUSE of Dementia Joe

1756362274997158216,RT   arrest fake doctor Jill Biden for the daily ongoing ELDER ABUSE of Dementia Joe

1756362274997158216,RT   arrest fake doctor Jill Biden for the daily ongoing ELDER ABUSE of Dementia Joe

1755999876083572993,RT  Congress passed a law in 2022 designed to Trumpproof future elections by making abundantly clear the VP doesnt have the p,en,US
1755999828755276149, Five days ago, Donald Trump claimed he looks like Elvis Presley But do go on about Joe Bidens age you washed up partisan hack,en,US
1756362375614079482,RT  ®BREAKING Tucker Carlson met with NSA whistleblower Edward Snowden and Joe Bidens rape victim Tara Reade while in Moscow ,en,US
1756362284102767025,RT  ®BREAKING Tucker Carlson met with NSA whistleblower Edward Snowden and Joe Bidens rape victim Tara Reade while in Moscow ,en,US
1756362375614079482,RT  ®BREAKING Tucker Carlson met with NSA whistleblower Edward Snowden and Joe Bidens rape victim Tara Reade while in Moscow ,en,US
1756362284102767025,RT  ®BREAKING Tucker Carlson met with NSA whistleblower Edward Snowden and Joe Bidens rape victim Tara Reade while in Moscow ,en,US
1756362375614079482,RT  ®BREAKING Tucker Carlson met with NSA whistleblower Edward Snowden and Joe Bidens rape victim Tara Reade while in Moscow ,en,US
1756362284102767025,RT  ®BREAKING Tucker Carlson met with NSA whistleblower Edward Snowden and Joe Bidens rape victim Tara Reade while in Moscow ,en,US
1755999926545232198,   Cool Now do one for Trump,en,US
1756358353737957501,RT  Addendum to the Merrick Garland expose,en,US
1756352151528349795,RT  Addendum to the Merrick Garland expose,en,US
